,JTXX_ID,ZXSZK,JKZK,CJDJ,CJLB,LDJN,SFSW,SFZP
49433,2673,3.0,1,0,0.0,5,1,0
49427,2673,0.0,1,0,0.0,2,1,0
49426,2673,0.0,1,0,0.0,2,1,0
49424,2673,0.0,4,2,7.0,5,1,0
49428,2673,0.0,4,3,3.0,4,1,0
49434,2673,3.0,1,0,0.0,5,1,0
48518,2673,0.0,4,3,5.0,4,1,0
49435,2674,0.0,4,1,7.0,5,1,0
49437,2675,0.0,2,0,0.0,5,1,0
49440,2676,9.0,1,0,0.0,2,1,0
49439,2676,0.0,4,4,3.0,3,1,0
49438,2676,0.0,4,4,4.0,3,1,0
49442,2677,0.0,4,1,3.0,4,1,0
49441,2677,0.0,2,0,0.0,3,1,0
49443,2678,0.0,4,2,3.0,3,1,0
49445,2679,0.0,1,0,0.0,2,1,0
49444,2679,0.0,2,0,0.0,3,1,0
49446,2679,24.0,1,0,0.0,2,1,0
49448,2679,0.0,1,0,0.0,2,1,0
49449,2680,0.0,4,2,3.0,3,1,0
49451,2681,3.0,1,0,0.0,5,1,0
49450,2681,0.0,2,0,0.0,3,1,0
49452,2682,0.0,2,0,0.0,5,1,0
49453,2683,0.0,4,1,7.0,5,1,0
49454,2684,0.0,2,0,0.0,3,1,0
49457,2685,2.0,1,0,0.0,5,1,0
49456,2685,2.0,1,0,0.0,5,1,0
49455,2685,0.0,1,0,0.0,2,1,0
49460,2686,0.0,4,4,2.0,3,1,0
49459,2686,0.0,4,4,1.0,4,1,0
49463,2687,0.0,1,0,0.0,2,1,0
49461,2687,0.0,4,4,3.0,3,1,0
49465,2687,2.0,1,0,0.0,5,1,0
49464,2687,3.0,1,0,0.0,5,1,0
49462,2687,0.0,1,0,0.0,2,1,0
49467,2688,0.0,4,4,2.0,3,1,0
49466,2688,0.0,1,0,0.0,3,1,0
49468,2689,0.0,4,2,1.0,3,1,0
52528,2690,5.0,1,0,0.0,5,1,0
52527,2690,0.0,4,1,7.0,3,1,0
52529,2691,0.0,4,4,1.0,3,1,0
52530,2691,0.0,4,4,2.0,3,1,0
52756,2692,0.0,1,0,0.0,2,1,0
52757,2692,3.0,1,0,0.0,5,1,0
52754,2692,0.0,1,0,0.0,2,1,0
52758,2692,1.0,1,0,0.0,5,1,0
52755,2692,4.0,1,0,0.0,5,1,0
52531,2692,0.0,1,0,0.0,2,1,0
52760,2693,0.0,4,2,4.0,3,1,0
52761,2693,0.0,1,0,0.0,2,1,0
52766,2694,2.0,1,0,0.0,5,1,0
52765,2694,1.0,1,0,0.0,5,1,0
52764,2694,0.0,1,0,0.0,2,1,0
52763,2694,0.0,1,0,0.0,2,1,0
52762,2694,0.0,3,0,0.0,3,1,0
52767,2695,0.0,2,0,0.0,3,1,0
52768,2695,0.0,1,0,0.0,2,1,0
52769,2696,0.0,2,0,0.0,3,1,0
52771,2696,0.0,4,2,1.0,4,1,0
52772,2696,23.0,1,0,0.0,2,1,0
52773,2697,0.0,3,0,0.0,5,1,0
52774,2697,0.0,1,0,0.0,3,1,0
52779,2698,5.0,1,0,0.0,5,1,0
52780,2698,0.0,2,0,0.0,3,1,0
52782,2698,0.0,1,0,0.0,3,1,0
52777,2698,3.0,1,0,0.0,5,1,0
52778,2698,2.0,1,0,0.0,5,1,0
52775,2698,0.0,3,0,0.0,3,1,0
52776,2698,0.0,1,0,0.0,2,1,0
52788,2699,1.0,1,0,0.0,5,1,0
52787,2699,0.0,1,0,0.0,2,1,0
52789,2699,2.0,1,0,0.0,5,1,0
52783,2699,0.0,1,0,0.0,3,1,0
52784,2699,0.0,4,1,4.0,4,1,0
52785,2699,0.0,1,0,0.0,2,1,0
52786,2699,0.0,1,0,0.0,2,1,0
52909,2700,0.0,1,0,0.0,2,1,0
52913,2700,10.0,4,4,1.0,5,1,0
52912,2700,2.0,1,0,0.0,5,1,0
52910,2700,0.0,1,0,0.0,2,1,0
52916,2701,0.0,4,2,2.0,4,1,0
52917,2701,2.0,1,0,0.0,5,1,0
52914,2701,0.0,3,0,0.0,4,1,0
52915,2701,0.0,1,0,0.0,2,1,0
52920,2702,0.0,1,0,0.0,2,1,0
52919,2702,1.0,1,0,0.0,5,1,0
52918,2702,0.0,1,0,0.0,2,1,0
52921,2702,5.0,1,0,0.0,5,1,0
52923,2703,0.0,1,0,0.0,3,1,0
52924,2703,0.0,1,0,0.0,2,1,0
52925,2703,0.0,1,0,0.0,2,1,0
50498,2704,0.0,2,0,0.0,3,1,0
49858,2704,0.0,1,0,0.0,2,1,0
49859,2704,3.0,1,0,0.0,5,1,0
49860,2704,7.0,1,0,0.0,5,1,0
49862,2705,0.0,1,0,0.0,2,1,0
49861,2705,0.0,1,0,0.0,2,1,0
49863,2705,0.0,1,0,0.0,2,1,0
49865,2705,3.0,4,2,7.0,5,1,0
49866,2706,0.0,1,0,0.0,3,1,0
49867,2706,0.0,2,0,0.0,3,1,0
49868,2706,0.0,4,4,1.0,3,1,0
49869,2706,3.0,1,0,0.0,5,1,0
49870,2707,0.0,4,4,1.0,3,1,0
49873,2707,2.0,1,0,0.0,5,1,0
49872,2707,0.0,1,0,0.0,2,1,0
49871,2707,0.0,4,0,0.0,3,1,0
49878,2708,0.0,1,0,0.0,2,1,0
49876,2708,0.0,4,4,1.0,3,1,0
49879,2708,1.0,1,0,0.0,5,1,0
49874,2708,0.0,4,2,1.0,4,1,0
49877,2708,0.0,1,0,0.0,2,1,0
49880,2709,0.0,1,0,0.0,2,1,0
49881,2709,15.0,1,0,0.0,2,1,0
49882,2710,0.0,4,4,1.0,3,1,0
49885,2711,0.0,1,0,0.0,2,1,0
49884,2711,0.0,1,0,0.0,2,1,0
49883,2711,0.0,4,3,7.0,3,1,0
49237,2712,0.0,1,0,0.0,2,1,0
49238,2712,0.0,1,0,0.0,2,1,0
49239,2712,0.0,1,0,0.0,2,1,0
49240,2713,0.0,1,0,0.0,2,1,0
49241,2713,0.0,1,0,0.0,2,1,0
49242,2713,0.0,1,0,0.0,2,1,0
49244,2714,0.0,1,0,0.0,2,1,0
49248,2714,3.0,1,0,0.0,5,1,0
49246,2714,22.0,1,0,0.0,2,1,0
49243,2714,0.0,4,4,1.0,5,1,0
49245,2714,3.0,1,0,0.0,5,1,0
49252,2715,0.0,1,0,0.0,2,1,0
49251,2715,0.0,1,0,0.0,2,1,0
49250,2715,0.0,1,0,0.0,2,1,0
49253,2715,1.0,1,0,0.0,5,1,0
49249,2715,0.0,4,0,0.0,3,1,0
49616,2715,3.0,1,0,0.0,5,1,0
49622,2716,4.0,1,0,0.0,5,1,0
49618,2716,0.0,1,0,0.0,2,1,0
49617,2716,0.0,1,0,0.0,2,1,0
49619,2716,0.0,4,1,7.0,3,1,0
49624,2717,26.0,1,0,0.0,2,1,0
49623,2717,0.0,4,4,1.0,3,1,0
49625,2718,0.0,2,0,0.0,3,1,0
49626,2718,0.0,1,0,0.0,2,1,0
49628,2719,0.0,1,0,0.0,2,1,0
49627,2719,0.0,4,1,4.0,4,1,0
49629,2720,0.0,1,0,0.0,3,1,0
49733,2721,0.0,1,0,0.0,3,1,0
42467,2722,0.0,1,0,0.0,2,1,0
49734,2722,0.0,1,0,0.0,2,1,0
42470,2723,5.0,1,0,0.0,5,1,0
44440,2723,2.0,1,0,0.0,5,1,0
42469,2723,0.0,4,4,1.0,3,1,0
42468,2723,0.0,1,0,0.0,2,1,0
44441,2723,0.0,1,0,0.0,3,1,0
44443,2724,0.0,1,0,0.0,3,1,0
44442,2724,0.0,2,0,0.0,3,1,0
44445,2725,0.0,2,0,0.0,5,1,0
44447,2725,0.0,1,0,0.0,2,1,0
44448,2725,0.0,1,0,0.0,2,1,0
44449,2725,10.0,1,0,0.0,5,1,0
44444,2725,0.0,4,4,1.0,5,1,0
44451,2726,0.0,1,0,0.0,2,1,0
44452,2726,0.0,1,0,0.0,2,1,0
44450,2726,0.0,4,2,2.0,4,1,0
44454,2727,0.0,1,0,0.0,2,1,0
44453,2727,0.0,1,0,0.0,2,1,0
44455,2727,3.0,2,0,0.0,5,1,0
44459,2728,22.0,1,0,0.0,2,1,0
44458,2728,7.0,1,0,0.0,5,1,0
44456,2728,0.0,1,0,0.0,2,1,0
44460,2729,0.0,1,0,0.0,3,1,0
44463,2729,0.0,4,1,7.0,4,1,0
44465,2729,1.0,1,0,0.0,5,1,0
44464,2729,1.0,1,0,0.0,5,1,0
44461,2729,0.0,2,0,0.0,3,1,0
44462,2729,0.0,4,4,1.0,3,1,0
44467,2730,0.0,4,1,1.0,4,1,0
44466,2730,0.0,2,0,0.0,3,1,0
44469,2731,0.0,4,4,1.0,3,1,0
44471,2731,3.0,4,3,3.0,5,1,0
44472,2731,3.0,1,0,0.0,5,1,0
44473,2731,0.0,1,0,0.0,3,1,0
44474,2731,0.0,1,0,0.0,3,1,0
44470,2731,0.0,4,2,3.0,4,1,0
44475,2732,0.0,4,4,1.0,3,1,0
44476,2732,0.0,4,3,3.0,4,1,0
44477,2732,3.0,1,0,0.0,5,1,0
44478,2732,3.0,4,4,3.0,5,1,0
44480,2732,4.0,1,0,0.0,5,1,0
44481,2733,0.0,4,4,1.0,3,1,0
44482,2734,0.0,4,2,3.0,4,1,0
44483,2735,0.0,4,4,1.0,3,1,0
44484,2735,0.0,2,0,0.0,3,1,0
44485,2736,0.0,2,0,0.0,5,1,0
44486,2737,0.0,2,0,0.0,5,1,0
44487,2737,0.0,2,0,0.0,3,1,0
44488,2738,0.0,4,2,3.0,3,1,0
44489,2739,0.0,2,0,0.0,3,1,0
44491,2740,0.0,1,0,0.0,5,1,0
44492,2740,0.0,1,0,0.0,2,1,0
44493,2741,0.0,4,2,2.0,5,1,0
45002,2742,0.0,4,2,3.0,2,1,0
44494,2742,0.0,2,0,0.0,5,1,0
45001,2742,0.0,4,4,3.0,2,1,0
45003,2743,0.0,1,0,0.0,3,1,0
45004,2744,0.0,2,0,0.0,5,1,0
45005,2744,0.0,2,0,0.0,3,1,0
45006,2744,0.0,1,0,0.0,1,1,0
38818,2745,0.0,2,0,0.0,3,1,0
38820,2745,23.0,1,0,0.0,2,1,0
38819,2745,9.0,1,0,0.0,2,1,0
45008,2745,0.0,2,0,0.0,3,1,0
38821,2746,0.0,4,4,2.0,3,1,0
38822,2746,0.0,2,0,0.0,3,1,0
38823,2747,0.0,2,0,8.0,3,1,0
38824,2747,0.0,1,0,0.0,2,1,0
38825,2747,8.0,1,0,0.0,2,1,0
38826,2747,23.0,1,0,0.0,2,1,0
38832,2748,3.0,1,0,0.0,5,1,0
38831,2748,0.0,1,0,0.0,2,1,0
38830,2748,0.0,1,0,0.0,2,1,0
